node_1	node_1_id	node_1_type	node_2	node_2_id	node_2_type
celecoxib	DB00482	drug	PDPK1	5170	protein
celecoxib	DB00482	drug	PTGS2	5743	protein
celecoxib	DB00482	drug	CA2	760	protein
celecoxib	DB00482	drug	CA12	771	protein
celecoxib	DB00482	drug	ABCB1	5243	protein
celecoxib	DB00482	drug	CA3	761	protein
celecoxib	DB00482	drug	ABCG2	9429	protein
celecoxib	DB00482	drug	ABCB5	340273	protein
clonidine	DB00575	drug	ADRA1B	147	protein
clonidine	DB00575	drug	ADRA2B	151	protein
clonidine	DB00575	drug	ADRA2C	152	protein
clonidine	DB00575	drug	ADRA2A	150	protein
clonidine	DB00575	drug	ADRA1D	146	protein
clonidine	DB00575	drug	ADRA1A	148	protein
ADRA1B	147	protein	ADRA1D	146	protein
ADRA1B	147	protein	ADRA1A	148	protein
ADRA1D	146	protein	ADRA1A	148	protein
ABCB1	5243	protein	G2/M transition of mitotic cell cycle	GO:0000086	biological_function
PDPK1	5170	protein	intracellular signal transduction	GO:0035556	biological_function
ADRA2A	150	protein	activation of protein kinase activity	GO:0032147	biological_function
ADRA2A	150	protein	positive regulation of MAP kinase activity	GO:0043406	biological_function
ABCB5	340273	protein	regulation of membrane potential	GO:0042391	biological_function
PDPK1	5170	protein	cell migration	GO:0016477	biological_function
ADRA2A	150	protein	glucose homeostasis	GO:0042593	biological_function
ADRA2A	150	protein	positive regulation of cytokine production	GO:0001819	biological_function
PDPK1	5170	protein	protein phosphorylation	GO:0006468	biological_function
ADRA2A	150	protein	positive regulation of cell migration	GO:0030335	biological_function
PDPK1	5170	protein	negative regulation of protein kinase activity	GO:0006469	biological_function
ABCB5	340273	protein	transmembrane transport	GO:0055085	biological_function
PDPK1	5170	protein	epidermal growth factor receptor signaling pathway	GO:0007173	biological_function
PDPK1	5170	protein	cellular response to insulin stimulus	GO:0032869	biological_function
PDPK1	5170	protein	extrinsic apoptotic signaling pathway	GO:0097191	biological_function
ADRA2A	150	protein	cellular response to hormone stimulus	GO:0032870	biological_function
