node_1	node_1_id	node_1_type	node_2	node_2_id	node_2_type
rosuvastatin	DB01098	drug	HMGCR	3156	protein
fenofibrate	DB01039	drug	PPARA	5465	protein
fenofibrate	DB01039	drug	PPARG	5468	protein
fenofibrate	DB01039	drug	PPARD	5467	protein
fenofibrate	DB01039	drug	NR1I2	8856	protein
fenofibrate	DB01039	drug	MMP25	64386	protein
hyperlipidemia	C0020473	indication	APOB	338	protein
hyperlipidemia	C0020473	indication	PPARGC1B	133522	protein
hyperlipidemia	C0020473	indication	IRS1	3667	protein
hyperlipidemia	C0020473	indication	LMNA	4000	protein
hyperlipidemia	C0020473	indication	RAB27A	5873	protein
hyperlipidemia	C0020473	indication	LDLRAP1	26119	protein
hyperlipidemia	C0020473	indication	CETP	1071	protein
hyperlipidemia	C0020473	indication	ACTN4	81	protein
hyperlipidemia	C0020473	indication	TFG	10342	protein
hyperlipidemia	C0020473	indication	APC	324	protein
hyperlipidemia	C0020473	indication	NEIL1	79661	protein
hyperlipidemia	C0020473	indication	MYO5A	4644	protein
hyperlipidemia	C0020473	indication	NPHS1	4868	protein
hyperlipidemia	C0020473	indication	LPL	4023	protein
hyperlipidemia	C0020473	indication	NOS3	4846	protein
hyperlipidemia	C0020473	indication	LEPR	3953	protein
hyperlipidemia	C0020473	indication	LDLR	3949	protein
hyperlipidemia	C0020473	indication	ADRB2	154	protein
hyperlipidemia	C0020473	indication	ADRB3	155	protein
hyperlipidemia	C0020473	indication	DGAT1	8694	protein
hyperlipidemia	C0020473	indication	NPHS2	7827	protein
hyperlipidemia	C0020473	indication	LIPC	3990	protein
hyperlipidemia	C0020473	indication	PYGL	5836	protein
hyperlipidemia	C0020473	indication	AGL	178	protein
hyperlipidemia	C0020473	indication	LMX1B	4010	protein
hyperlipidemia	C0020473	indication	ZMPSTE24	10269	protein
hyperlipidemia	C0020473	indication	SLC37A4	2542	protein
hyperlipidemia	C0020473	indication	APOC3	345	protein
hyperlipidemia	C0020473	indication	G6PC	2538	protein
hyperlipidemia	C0020473	indication	CYP19A1	1588	protein
hyperlipidemia	C0020473	indication	ALB	213	protein
hyperlipidemia	C0020473	indication	GLA	2717	protein
APOB	338	protein	LIPC	3990	protein
APOB	338	protein	LDLR	3949	protein
PPARGC1B	133522	protein	PPARA	5465	protein
PPARGC1B	133522	protein	PPARG	5468	protein
RAB27A	5873	protein	MYO5A	4644	protein
RAB27A	5873	protein	ADRB2	154	protein
LDLRAP1	26119	protein	LDLR	3949	protein
CETP	1071	protein	LPL	4023	protein
ACTN4	81	protein	NOS3	4846	protein
ACTN4	81	protein	APC	324	protein
NPHS1	4868	protein	NPHS2	7827	protein
NPHS1	4868	protein	ALB	213	protein
LPL	4023	protein	LIPC	3990	protein
ADRB2	154	protein	ADRB3	155	protein
PYGL	5836	protein	AGL	178	protein
APOC3	345	protein	ALB	213	protein
