node_1	node_1_id	node_1_type	node_2	node_2_id	node_2_type
latanoprost	DB00654	drug	PTGFR	5737	protein
timolol	DB00373	drug	ADRB1	153	protein
timolol	DB00373	drug	ADRB2	154	protein
glaucoma	C0017601	indication	EP300	2033	protein
glaucoma	C0017601	indication	RBBP8	5932	protein
glaucoma	C0017601	indication	CREBBP	1387	protein
glaucoma	C0017601	indication	NEK2	4751	protein
glaucoma	C0017601	indication	RPGR	6103	protein
glaucoma	C0017601	indication	CDKN2A	1029	protein
glaucoma	C0017601	indication	TRAIP	10293	protein
glaucoma	C0017601	indication	CRX	1406	protein
glaucoma	C0017601	indication	PAX6	5080	protein
glaucoma	C0017601	indication	TOPORS	10210	protein
glaucoma	C0017601	indication	PRPF6	24148	protein
glaucoma	C0017601	indication	CBS	875	protein
glaucoma	C0017601	indication	SUFU	51684	protein
glaucoma	C0017601	indication	PRPF3	9129	protein
glaucoma	C0017601	indication	PLK4	10733	protein
glaucoma	C0017601	indication	NAA10	8260	protein
glaucoma	C0017601	indication	BBS2	583	protein
glaucoma	C0017601	indication	BUB1	699	protein
glaucoma	C0017601	indication	GMPPB	29925	protein
glaucoma	C0017601	indication	CDKN2B	1030	protein
glaucoma	C0017601	indication	TDRD7	23424	protein
glaucoma	C0017601	indication	RP9	6100	protein
glaucoma	C0017601	indication	PRPF4	9128	protein
glaucoma	C0017601	indication	SNRNP200	23020	protein
glaucoma	C0017601	indication	PRPF8	10594	protein
glaucoma	C0017601	indication	YARS2	51067	protein
glaucoma	C0017601	indication	CRB1	23418	protein
glaucoma	C0017601	indication	PIK3R1	5295	protein
glaucoma	C0017601	indication	BUB1B	701	protein
glaucoma	C0017601	indication	BUB3	9184	protein
glaucoma	C0017601	indication	PRPF31	26121	protein
glaucoma	C0017601	indication	TGFB2	7042	protein
glaucoma	C0017601	indication	GNAQ	2776	protein
glaucoma	C0017601	indication	VCAN	1462	protein
glaucoma	C0017601	indication	GJA1	2697	protein
glaucoma	C0017601	indication	BCOR	54880	protein
glaucoma	C0017601	indication	PEX1	5189	protein
glaucoma	C0017601	indication	CNGA1	1259	protein
glaucoma	C0017601	indication	PDE6G	5148	protein
glaucoma	C0017601	indication	OFD1	8481	protein
glaucoma	C0017601	indication	WFS1	7466	protein
glaucoma	C0017601	indication	RECQL4	9401	protein
glaucoma	C0017601	indication	RHO	6010	protein
glaucoma	C0017601	indication	COL2A1	1280	protein
glaucoma	C0017601	indication	LRAT	9227	protein
glaucoma	C0017601	indication	PCNT	5116	protein
glaucoma	C0017601	indication	COL3A1	1281	protein
glaucoma	C0017601	indication	COL5A1	1289	protein
glaucoma	C0017601	indication	PTCH1	5727	protein
glaucoma	C0017601	indication	PTCH2	8643	protein
glaucoma	C0017601	indication	RLBP1	6017	protein
glaucoma	C0017601	indication	MYOC	4653	protein
glaucoma	C0017601	indication	MYLK	4638	protein
glaucoma	C0017601	indication	IFT172	26160	protein
glaucoma	C0017601	indication	ABCA4	24	protein
glaucoma	C0017601	indication	CNGB1	1258	protein
glaucoma	C0017601	indication	ARL2BP	23568	protein
glaucoma	C0017601	indication	CENPE	1062	protein
glaucoma	C0017601	indication	PTPN22	26191	protein
glaucoma	C0017601	indication	FBN1	2200	protein
glaucoma	C0017601	indication	BEST1	7439	protein
glaucoma	C0017601	indication	OCRL	4952	protein
glaucoma	C0017601	indication	MASP1	5648	protein
glaucoma	C0017601	indication	SAG	6295	protein
glaucoma	C0017601	indication	CA4	762	protein
glaucoma	C0017601	indication	NRL	4901	protein
glaucoma	C0017601	indication	WT1	7490	protein
glaucoma	C0017601	indication	MERTK	10461	protein
glaucoma	C0017601	indication	CRYAA	1409	protein
glaucoma	C0017601	indication	TUB	7275	protein
glaucoma	C0017601	indication	NR2E3	10002	protein
glaucoma	C0017601	indication	PITX2	5308	protein
glaucoma	C0017601	indication	PLOD1	5351	protein
glaucoma	C0017601	indication	ATR	545	protein
glaucoma	C0017601	indication	DDX58	23586	protein
glaucoma	C0017601	indication	SLC4A4	8671	protein
glaucoma	C0017601	indication	PROM1	8842	protein
glaucoma	C0017601	indication	IFT140	9742	protein
glaucoma	C0017601	indication	ELP4	26610	protein
glaucoma	C0017601	indication	LMX1B	4010	protein
glaucoma	C0017601	indication	FKTN	2218	protein
glaucoma	C0017601	indication	RPE65	6121	protein
glaucoma	C0017601	indication	IDH3B	3420	protein
glaucoma	C0017601	indication	ANKLE2	23141	protein
glaucoma	C0017601	indication	TRIM44	54765	protein
glaucoma	C0017601	indication	CEP152	22995	protein
glaucoma	C0017601	indication	TMEM98	26022	protein
glaucoma	C0017601	indication	NDP	4693	protein
glaucoma	C0017601	indication	FOXC1	2296	protein
glaucoma	C0017601	indication	ARSB	411	protein
glaucoma	C0017601	indication	CEP57	9702	protein
glaucoma	C0017601	indication	COL11A1	1301	protein
glaucoma	C0017601	indication	GJB3	2707	protein
glaucoma	C0017601	indication	MAK	4117	protein
glaucoma	C0017601	indication	PDE6B	5158	protein
glaucoma	C0017601	indication	NHS	4810	protein
glaucoma	C0017601	indication	IMPDH1	3614	protein
glaucoma	C0017601	indication	PDE6A	5145	protein
glaucoma	C0017601	indication	USH2A	7399	protein
glaucoma	C0017601	indication	POMGNT1	55624	protein
glaucoma	C0017601	indication	ROM1	6094	protein
glaucoma	C0017601	indication	VSX1	30813	protein
glaucoma	C0017601	indication	POMT2	29954	protein
glaucoma	C0017601	indication	POMT1	10585	protein
glaucoma	C0017601	indication	IDUA	3425	protein
glaucoma	C0017601	indication	FSCN2	25794	protein
glaucoma	C0017601	indication	RBP3	5949	protein
glaucoma	C0017601	indication	TULP1	7287	protein
glaucoma	C0017601	indication	FAS	355	protein
glaucoma	C0017601	indication	LARGE1	9215	protein
glaucoma	C0017601	indication	RGR	5995	protein
glaucoma	C0017601	indication	PRPH2	5961	protein
glaucoma	C0017601	indication	EBP	10682	protein
glaucoma	C0017601	indication	LTBP2	4053	protein
glaucoma	C0017601	indication	GUCA1B	2979	protein
glaucoma	C0017601	indication	RP1	6101	protein
glaucoma	C0017601	indication	RP2	6102	protein
EP300	2033	protein	PAX6	5080	protein
EP300	2033	protein	CREBBP	1387	protein
EP300	2033	protein	RECQL4	9401	protein
EP300	2033	protein	CRX	1406	protein
EP300	2033	protein	PIK3R1	5295	protein
RBBP8	5932	protein	RECQL4	9401	protein
CREBBP	1387	protein	TOPORS	10210	protein
CREBBP	1387	protein	CRX	1406	protein
CREBBP	1387	protein	WT1	7490	protein
NEK2	4751	protein	IFT140	9742	protein
NEK2	4751	protein	BUB1B	701	protein
CDKN2A	1029	protein	TDRD7	23424	protein
CDKN2A	1029	protein	CDKN2B	1030	protein
CRX	1406	protein	NRL	4901	protein
CRX	1406	protein	NR2E3	10002	protein
CRX	1406	protein	PRPF4	9128	protein
PAX6	5080	protein	PCNT	5116	protein
PRPF6	24148	protein	PRPF4	9128	protein
PRPF6	24148	protein	PRPF31	26121	protein
PRPF6	24148	protein	SNRNP200	23020	protein
PRPF6	24148	protein	PRPF8	10594	protein
PRPF6	24148	protein	PRPF3	9129	protein
CBS	875	protein	RECQL4	9401	protein
SUFU	51684	protein	PRPF31	26121	protein
PRPF3	9129	protein	PRPF4	9128	protein
PRPF3	9129	protein	PRPF8	10594	protein
PRPF3	9129	protein	PRPF31	26121	protein
PRPF3	9129	protein	SNRNP200	23020	protein
PLK4	10733	protein	CEP152	22995	protein
PLK4	10733	protein	PCNT	5116	protein
PLK4	10733	protein	OFD1	8481	protein
PLK4	10733	protein	PLOD1	5351	protein
NAA10	8260	protein	BCOR	54880	protein
NAA10	8260	protein	OFD1	8481	protein
BBS2	583	protein	TRIM44	54765	protein
BUB1	699	protein	BUB1B	701	protein
BUB1	699	protein	BUB3	9184	protein
BUB1	699	protein	CENPE	1062	protein
RP9	6100	protein	OFD1	8481	protein
PRPF4	9128	protein	PRPF8	10594	protein
PRPF4	9128	protein	PRPF31	26121	protein
PRPF4	9128	protein	SNRNP200	23020	protein
PRPF4	9128	protein	RECQL4	9401	protein
SNRNP200	23020	protein	PRPF8	10594	protein
SNRNP200	23020	protein	PRPF31	26121	protein
SNRNP200	23020	protein	RECQL4	9401	protein
PRPF8	10594	protein	PRPF31	26121	protein
PRPF8	10594	protein	BUB3	9184	protein
PRPF8	10594	protein	RECQL4	9401	protein
PRPF8	10594	protein	PIK3R1	5295	protein
YARS2	51067	protein	OFD1	8481	protein
YARS2	51067	protein	RECQL4	9401	protein
PIK3R1	5295	protein	GNAQ	2776	protein
PIK3R1	5295	protein	PROM1	8842	protein
PIK3R1	5295	protein	TUB	7275	protein
PIK3R1	5295	protein	MYLK	4638	protein
BUB1B	701	protein	BUB3	9184	protein
BUB1B	701	protein	CENPE	1062	protein
BUB3	9184	protein	RECQL4	9401	protein
GNAQ	2776	protein	TUB	7275	protein
VCAN	1462	protein	FBN1	2200	protein
BCOR	54880	protein	FOXC1	2296	protein
BCOR	54880	protein	RECQL4	9401	protein
OFD1	8481	protein	IDH3B	3420	protein
OFD1	8481	protein	PLOD1	5351	protein
OFD1	8481	protein	CEP152	22995	protein
OFD1	8481	protein	CENPE	1062	protein
OFD1	8481	protein	PCNT	5116	protein
RECQL4	9401	protein	ELP4	26610	protein
RECQL4	9401	protein	PLOD1	5351	protein
RHO	6010	protein	SAG	6295	protein
RHO	6010	protein	NRL	4901	protein
COL2A1	1280	protein	PLOD1	5351	protein
ADRB2	154	protein	IDH3B	3420	protein
PCNT	5116	protein	CEP152	22995	protein
COL3A1	1281	protein	MYOC	4653	protein
COL5A1	1289	protein	PLOD1	5351	protein
PTCH1	5727	protein	POMT2	29954	protein
MYOC	4653	protein	FBN1	2200	protein
ABCA4	24	protein	CNGB1	1258	protein
CNGB1	1258	protein	PRPH2	5961	protein
CA4	762	protein	SLC4A4	8671	protein
NRL	4901	protein	NR2E3	10002	protein
PITX2	5308	protein	PLOD1	5351	protein
PITX2	5308	protein	FOXC1	2296	protein
ARSB	411	protein	IDUA	3425	protein
PDE6B	5158	protein	PDE6A	5145	protein
ROM1	6094	protein	PRPH2	5961	protein
POMT2	29954	protein	POMT1	10585	protein
